Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BK-18650-PC2,1,18650,
"C1, C11, C2, C3, C4, C6, C9",0603,7,10u,
C10,0603,1,220p,
"C13, C5, C7, C8",0603,4,100n,
"D1, D2, D3",D_SOD-123,3,BS819W,
D4,0603,1,Yellow,
D5,D_SMA,1,SS34,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Solar Panel,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,L_Sunlord_SWPA5040S,1,6.8uH,
Q1,SOT-23,1,AO3401A,
Q3,TSOT-23-6,1,AP2003,
"R1, R11, R12, R16, R3, R4, R5, R6",0603,8,10k,
"R10, R9",0603,2,5.1k,
"R13, R7",0603,2,1k,
R14,0603,1,1M,
R15,0603,1,174k,
R17,0603,1,95.3k,
R18,0603,1,243k,
R19,2512,1,34,
R2,0603,1,2.7k,
"R20, R21, R22, R23, R8",0603,5,1.5k,
SW1,XKB5858-X-F-75,1,XKB5858,
SW2,SW_SPST_B3U-1000P,1,Reset,
SW3,K3-1290S-E1,1,Boot Selector,
SW4,SMXMS-02,1,Voltage Selector,
U1,SOT-23-6,1,BQ21040DBV,
"U10, U7, U8, U9",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,4,DRV8231ADSG,
U2,SOT-23-5,1,XC6220B331MR,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,RAK3172,1,RAK3172-xx-9-SM-xI,
U5,SO-4_4.4x4.3mm_P2.54mm,1,LT218,
U6,SOT-23-5,1,LMR62421XMF,
