Designator,Mid X,Mid Y,Rotation,Layer
BT1,39.10397,57.5,0.0,top
C1,40.839,104.7305,90.0,top
C10,50.54175,77.73375,90.0,top
C11,51.562,72.644,90.0,top
C12,65.151,71.882,0.0,top
C13,41.91,72.644,90.0,top
C2,12.538358,79.274,270.0,top
C3,42.805,97.1105,270.0,top
C4,11.522358,72.403,180.0,top
C5,14.547,90.437,90.0,top
C6,36.36,95.028,0.0,top
C7,36.36,93.25,0.0,top
C8,25.692,99.504,270.0,top
C9,47.69775,86.31975,0.0,top
D1,45.25,103.898,90.0,top
D2,50.33,103.898,90.0,top
D3,47.79,103.898,270.0,top
D4,11.214,82.309,0.0,top
D5,44.196,76.85875,180.0,top
J1,30.663,73.279,270.0,top
J2,42.0,21.38,180.0,top
J3,36.0,21.38,0.0,top
J4,3.594,87.516,270.0,top
J6,18.326,73.292,180.0,top
L1,42.92175,81.49375,270.0,top
Q1,49.06,99.072,90.0,top
Q3,15.344,100.536,0.0,top
R1,51.854,99.58,270.0,top
R10,11.214,84.087,0.0,top
R11,14.547,83.134,270.0,top
R12,23.66,99.454,90.0,top
R13,44.44575,86.31975,0.0,top
R14,47.74775,84.54175,0.0,top
R15,48.69775,77.68375,90.0,top
R16,52.31975,77.68375,270.0,top
R17,52.31975,80.98575,90.0,top
R18,50.54175,80.98575,90.0,top
R19,46.736,72.644,180.0,top
R2,42.739,104.7305,90.0,top
R20,56.723,39.96,270.0,top
R21,35.841,39.951,270.0,top
R22,46.341,39.951,270.0,top
R23,25.341,39.951,270.0,top
R3,10.760358,79.261,270.0,top
R4,40.839,97.1105,270.0,top
R5,19.154,99.266,0.0,top
R6,19.154,101.044,0.0,top
R7,14.455,103.965,90.0,top
R8,16.36,103.965,270.0,top
R9,11.214,89.421,0.0,top
SW1,4.717,76.848,0.0,top
SW2,24.676,103.01,90.0,top
SW3,2.687,97.676,0.0,top
SW4,51.816,87.249,0.0,top
U1,41.789,100.9205,270.0,top
U10,23.055,39.951,270.0,top
U2,11.522358,75.451,90.0,top
U3,12.4345,86.766,270.0,top
U4,25.946,87.5,0.0,top
U5,45.33475,89.74875,0.0,top
U6,47.74775,81.49375,270.0,top
U7,54.437,39.96,270.0,top
U8,33.555,39.951,270.0,top
U9,44.055,39.951,270.0,top
